,UVG Video Src,Instance Name,CurEpoch,Train Time,Compression Method,Compression Encoding Time,Compression Decoding Time,"FPS (Quantized, Full Pass)","FPS (Quantized, Forward Pass)","FPS (Full Model, Full Pass)","FPS (Full Model, Forward Pass)",Encoding / Training Time Total (Full Pass),Encoding / Training Time Total (Forward Pass),Encoding / Training Time per Epoch (Full Pass),Encoding / Training Time per Epoch (Forward Pass),Split,Embed,Crop,Resize,Lr_type,LR (E-3),Batch,Size (M),ModelSize,Epoch,Loss,Act,Norm,FC,Reduce,ENC_type,ENC_strds,KS,enc_dim,DEC,DEC_strds,lower_width,Quant,bits/param,bits/param w/ overhead,bits/pixel,PSNR_list_50,best_pred_seen_psnr,best_pred_seen_ssim,best_pred_unseen_psnr,best_pred_unseen_ssim,best_quant_seen_psnr,best_quant_seen_ssim,best_quant_unseen_psnr,best_quant_unseen_ssim,pred_seen_psnr,pred_seen_ssim,pred_unseen_psnr,pred_unseen_ssim
10,honeybee,honeybee_16_12,300,0:16:24.742878,huffman,0.06577777862548828,2.6318671703338623,7.355724518795285,8.178506263347726,5.9144699061107175,6.434370609913106,157.11721777915957,3.3138642311096187,0.5237240592638651,0.01104621410369873,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M16_E12,8.003776804016976,8.006821835502627,0.21607921006944444,"23.21,27.66,29.3,30.33,30.72,30.79,30.79,30.79",30.79,0.9619,0.0,0.0,30.77,0.9618,0.0,0.0,30.79,0.9619,0.0,0.0
11,honeybee,honeybee_16_6,300,0:16:22.424164,huffman,0.06583285331726074,2.6144533157348637,7.372882800929894,8.199410697852407,5.940040248857469,6.464535867173742,157.26680588722232,3.4125218391418457,0.5242226862907411,0.011375072797139486,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M16_E6,8.003737936977767,8.006782968463419,0.21607816116898146,"23.21,27.69,29.35,30.31,30.72,30.79,30.79,30.79",30.79,0.9618,0.0,0.0,30.76,0.9618,0.0,0.0,30.79,0.9618,0.0,0.0
12,bosphorus,bosphorus_16_6,300,0:15:37.933543,huffman,0.06590604782104492,2.628032684326172,7.365800331735534,8.194997096105949,5.9390099110841446,6.464979276264581,157.45549321174622,3.4323925971984863,0.5248516440391541,0.011441308657328288,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M16_E6,8.00374195770596,8.00843816823665,0.21612282986111112,"23.25,26.34,26.96,27.21,27.32,27.34,27.34,27.34",27.34,0.8508,0.0,0.0,27.29,0.8501,0.0,0.0,27.34,0.8508,0.0,0.0
13,honeybee,honeybee_32_12,300,0:16:19.977587,huffman,0.06691360473632812,0.70304274559021,7.296031005014569,8.104445866795484,6.01880561054377,6.558762463423358,157.1890912055969,3.332167387008667,0.5239636373519897,0.011107224623362224,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E12,1.3702313325966466,1.3732763640822991,0.0370604564525463,"23.21,27.61,29.26,30.3,30.7,30.77,30.77,30.77",30.77,0.9616,0.0,0.0,30.74,0.9616,0.0,0.0,30.77,0.9616,0.0,0.0
14,bosphorus,bosphorus_8_12,300,0:15:27.776825,huffman,0.06600761413574219,2.645705223083496,7.3379654454814185,8.158584858499466,5.927525914264143,6.4503837807828175,157.4558231830597,3.4171741008758545,0.5248527439435323,0.011390580336252848,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E12,7.914093121405218,8.380561923569978,0.2261652922453704,"23.47,26.5,26.84,27.94,28.27,28.32,28.32,28.32",28.32,0.8758,0.0,0.0,26.93,0.8373,0.0,0.0,28.32,0.8758,0.0,0.0
15,beauty,beauty_16_18,300,0:16:13.312531,huffman,0.06619405746459961,2.625734567642212,7.35756646041889,8.182842248811388,5.9638985627747605,6.493617742671503,157.3026452064514,3.4059009552001958,0.5243421506881714,0.01135300318400065,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M16_E18,8.00378551559473,8.005758352895294,0.2160505099826389,"25.29,27.49,28.7,29.31,29.59,29.65,29.65,29.65",29.65,0.8847,0.0,0.0,25.36,0.8151,0.0,0.0,29.65,0.8847,0.0,0.0
16,beauty,beauty_8_12,300,0:16:04.820094,huffman,0.06599807739257812,2.665959358215332,7.3055461693077826,8.11716984053259,5.903088834062603,6.421999188504323,157.48350548744205,3.485445499420166,0.5249450182914734,0.011618151664733886,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E12,7.944358482764812,8.410827284929574,0.2269820601851852,"23.91,27.08,28.18,28.67,28.88,28.91,28.91,28.91",28.91,0.8738,0.0,0.0,25.39,0.8178,0.0,0.0,28.91,0.8738,0.0,0.0
17,bosphorus,bosphorus_4_6,300,0:15:41.623641,huffman,0.062062978744506836,1.4704773426055908,7.302916297216204,8.116368759082842,5.977122845269077,6.510420147001586,157.38516902923584,3.3138999938964844,0.5246172300974528,0.01104633331298828,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M4_E6,4.013048603232532,4.479517405397291,0.12088823784722222,"23.35,26.35,26.97,27.26,27.41,27.44,27.44,27.44",27.44,0.8523,0.0,0.0,27.07,0.8449,0.0,0.0,27.44,0.8523,0.0,0.0
18,beauty,beauty_4_18,300,0:15:59.860982,huffman,0.0680699348449707,1.4858300685882568,7.324817438577893,8.14160394860524,5.919643209981087,6.441722874713808,157.41579604148862,3.439594984054565,0.5247193201382955,0.011465316613515216,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M4_E18,4.079636552976109,4.543381981910744,0.12261174406828705,"15.26,24.67,26.4,26.92,27.15,27.19,27.19,27.19",27.19,0.8390000000000001,0.0,0.0,25.02,0.8128,0.0,0.0,27.19,0.8390000000000001,0.0,0.0
19,bosphorus,bosphorus_16_12,300,0:15:31.490686,huffman,0.06594014167785645,2.625005006790161,7.380676926542161,8.212595650028588,5.9572237287401375,6.486161654392591,157.4412271976471,3.4465515613555913,0.5248040906588236,0.011488505204518636,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M16_E12,8.003753349769177,8.008449560299866,0.21612313729745367,"23.4,26.41,27.07,27.45,27.95,28.02,28.02,28.02",28.02,0.8661,0.0,0.0,27.02,0.8425,0.0,0.0,28.02,0.8661,0.0,0.0
